relation_id,source_node_id,target_node_id,relation_type,communication_type,fraction,level_difference
235,7,103,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
236,7,104,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
237,7,105,FOUNDER,"(↓) The counterparty is the founder",0.0002,1
238,7,106,FOUNDER,"(↓) The counterparty is the founder",0.0003,1
239,7,107,FOUNDER,"(↓) The counterparty is the founder",0.01566,1
240,8,108,BENEFICIARY,"(↓) The counterparty is the beneficiary",,1
241,8,109,FOUNDER,"(↓) The counterparty is the founder",0.5,1
242,8,110,FOUNDER,"(↓) The counterparty is the founder",0.5,1
243,8,111,FOUNDER,"(↓) The counterparty is the founder",0.0001,1
244,8,112,BENEFICIARY,"(↓) The counterparty is the beneficiary",,1
245,8,113,BENEFICIARY,"(↓) The counterparty is the beneficiary",,1
246,8,114,FOUNDER,"(↓) The counterparty is the founder",0.99999,1
247,8,115,FOUNDER,"(↓) The counterparty is the founder",0.00001,1
248,8,116,FOUNDER,"(↓) The counterparty is the founder",0.00001,1
249,8,117,FOUNDER,"(↓) The counterparty is the founder",0.00001,1
250,8,118,FOUNDER,"(↓) The counterparty is the founder",0.00001,1
251,8,119,FOUNDER,"(↓) The counterparty is the founder",0.00001,1
252,8,120,FOUNDER,"(↓) The counterparty is the founder",0.00001,1
253,121,9,FOUNDER,"(↑) Counterparty founder",1,1
254,122,9,FOUNDER,"(↑) Counterparty founder",1,1
255,123,9,FOUNDER,"(↑) Counterparty founder",1,1
256,124,9,FOUNDER,"(↑) Counterparty founder",1,1
257,125,9,FOUNDER,"(↑) Counterparty founder",1,1
258,126,9,FOUNDER,"(↑) Counterparty founder",1,1
259,127,9,FOUNDER,"(↑) Counterparty founder",1,1
260,128,9,FOUNDER,"(↑) Counterparty founder",1,1
261,129,9,FOUNDER,"(↑) Counterparty founder",1,1
262,130,9,FOUNDER,"(↑) Counterparty founder",1,1
263,131,9,FOUNDER,"(↑) Counterparty founder",1,1
264,132,9,FOUNDER,"(↑) Counterparty founder",1,1
265,133,9,FOUNDER,"(↑) Counterparty founder",1,1
266,134,9,FOUNDER,"(↑) Counterparty founder",0.01,1
267,135,9,FOUNDER,"(↑) Counterparty founder",0.01,1
268,136,9,FOUNDER,"(↑) Counterparty founder",0.01,1
269,137,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
270,138,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
271,139,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
272,140,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
273,141,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
274,142,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
275,143,9,FOUNDER,"(↑) Counterparty founder",0.0001,1
276,144,9,FOUNDER,"(↑) Counterparty founder",0.0002,1
277,145,10,GROUP_MEMBER,"(↑) Counterparty is related to the group",0.9999,1
278,146,10,GROUP_MEMBER,"(↑) Counterparty is related to the group",0.9999,1
279,147,10,GROUP_MEMBER,"(↑) Counterparty is related to the group",0.9999,1
280,148,10,GROUP_MEMBER,"(↑) Counterparty is related to the group",0.0001,1
281,149,10,GROUP_MEMBER,"(↑) Counterparty is related to the group",0.0001,1
